                                                            ZZ203S       1249125159937519332002402625                                                      20260101           
                                                            203B S       0541287069305008377001041125                                                      20260101           
4332000000SHOW LOW, AZ                                      203B S02940000541287069305008377001041125AZ017ARIZONA                   NAVAJO COUNTY          2026010102940002025
4606000000TUCSON, AZ                                        203B S03600000541287069305008377001041125AZ019ARIZONA                   PIMA COUNTY            2026010103600002025
3806000000PHOENIX-MESA-CHANDLER, AZ                         203B H04850000557750071400008631001072600AZ021ARIZONA                   PINAL COUNTY           2026010104850002025
3570000000NOGALES, AZ                                       203B S02750000541287069305008377001041125AZ023ARIZONA                   SANTA CRUZ COUN        2026010102750002025
3915000000PRESCOTT VALLEY-PRESCOTT, AZ                      203B S04250000541287069305008377001041125AZ025ARIZONA                   YAVAPAI COUNTY         2026010104250002025
4974000000YUMA, AZ                                          203B S02680000541287069305008377001041125AZ027ARIZONA                   YUMA COUNTY            2026010102680002025
4186036084SAN FRANCISCO-OAKLAND-FREMONT, CA                 203B H17500001249125159937519332002402625CA001CALIFORNIA                ALAMEDA COUNTY         2026010117500002025
2382000000GARDNERVILLE RANCHOS, NV-CA                       203B H06400000736000094220011389001415400CA003CALIFORNIA                ALPINE COUNTY          2026010106400002025
9999900000NON-METRO                                         203B S03850000541287069305008377001041125CA005CALIFORNIA                AMADOR COUNTY          2026010103950002022
1702000000CHICO, CA                                         203B S02880000541287069305008377001041125CA007CALIFORNIA                BUTTE COUNTY           2026010103100002022
9999900000NON-METRO                                         203B S03850000541287069305008377001041125CA009CALIFORNIA                CALAVERAS COUNT        2026010103990002022
9999900000NON-METRO                                         203B S03950000541287069305008377001041125CA011CALIFORNIA                COLUSA COUNTY          2026010104000002024
4186036084SAN FRANCISCO-OAKLAND-FREMONT, CA                 203B H17500001249125159937519332002402625CA013CALIFORNIA                CONTRA COSTA CO        2026010117500002025
1886000000CRESCENT CITY, CA                                 203B S02950000541287069305008377001041125CA015CALIFORNIA                DEL NORTE COUNT        2026010102950002025
4090000000SACRAMENTO-ROSEVILLE-FOLSOM, CA                   203B H06650000764750097900011834001470700CA017CALIFORNIA                EL DORADO COUNT        2026010106650002025
2342000000FRESNO, CA                                        203B S04300000541287069305008377001041125CA019CALIFORNIA                FRESNO COUNTY          2026010104300002025
9999900000NON-METRO                                         203B S03000000541287069305008377001041125CA021CALIFORNIA                GLENN COUNTY           2026010103130002024
2170000000EUREKA-ARCATA, CA                                 203B S04000000541287069305008377001041125CA023CALIFORNIA                HUMBOLDT COUNTY        2026010104000002025
2094000000EL CENTRO, CA                                     203B S03550000541287069305008377001041125CA025CALIFORNIA                IMPERIAL COUNTY        2026010103550002025
1386000000BISHOP, CA                                        203B S04550000541287069305008377001041125CA027CALIFORNIA                INYO COUNTY            2026010104550002025
1254000000BAKERSFIELD-DELANO, CA                            203B S03650000541287069305008377001041125CA029CALIFORNIA                KERN COUNTY            2026010103650002025
2526000000HANFORD-CORCORAN, CA                              203B S03700000541287069305008377001041125CA031CALIFORNIA                KINGS COUNTY           2026010103700002025
